Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Estimate1,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,2003.85,24046.20,USD,Number of NAT Gateways (1)
Estimate1,US East (N. Virginia),S3 Standard,0,2078.76,24945.12,USD,S3 Standard storage (90 TB per month)
Estimate1,US East (N. Virginia),Data Transfer,0,0,0.00,USD,Data Transfer
Estimate1,US East (N. Virginia),Amazon Route 53,0,366,4392.00,USD,"Hosted Zones (2), Number of Elastic Network Interfaces (4)"
Estimate1,US East (N. Virginia),Elastic Load Balancing,0,717.2299999999999,8606.76,USD,Number of Application Load Balancers (1)
Estimate1,US East (N. Virginia),Amazon EC2,0,2331.7200000000003,27980.64,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (30 GB), Provisioning IOPS (1000), Instance type (m5a.xlarge)"
Estimate1,US East (N. Virginia),Amazon RDS for MySQL,0,3425.76,41109.12,USD,"Quantity (4), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (db.m5.xlarge), Additional backup storage (5 TB)"
Estimate1,US East (N. Virginia),Amazon ElastiCache,0,1258.52,15102.24,USD,(2 instances)  Memcached  Memory optimized  cache r5.2xlarge  OnDemand
Estimate1,US East (N. Virginia),Amazon Athena,0,6085,73020.00,USD,"Total number of queries (40 per day), Data amount scanned per query (1 TB)"
Estimate1,US East (N. Virginia),Amazon CloudWatch,0,4.853999999999999,58.25,USD,



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
